Basin,Subbasin,Date,Year,Month,Avg_rainfall,Agency_name
Barak and Others Basin,Naoch chara and others,2022-01-29,2022,01,0,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-30,2022,01,0.030588783,NRSC VIC MODEL
Barak and Others Basin,Naoch chara and others,2022-01-01,2022,01,0,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-03,2022,01,0.028134394,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-04,2022,01,0.223532821,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-05,2022,01,0.003715525,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-06,2022,01,0.425188814,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-07,2022,01,0.154695038,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-09,2022,01,0.013498106,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-01,2022,01,0.240783275,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-08,2022,01,0.005027173,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-10,2022,01,0.414365131,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-11,2022,01,0.073839697,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-12,2022,01,6.217673905,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-13,2022,01,10.12351248,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-14,2022,01,7.534702729,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-15,2022,01,0.242329255,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-16,2022,01,0.041606632,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-21,2022,01,3.345763648,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-22,2022,01,2.514392742,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-23,2022,01,0.163801101,NRSC VIC MODEL
Brahamaputra Basin,Brahmaputra Lower,2022-01-24,2022,01,0.687985561,NRSC VIC MODEL
